date,symbol,rule_blocked,rule_narrative,actual_move,likely_trend_state,rsi_at_miss,vol_ratio_at_miss,catalyst_present,category
2026-05-25,STLTECH,N/A,"Universe gap - not in basestock; force-added but excluded (PE 475, negative 3yr ROE, news_priced_in)",+5%,STRONG_UP,N/A,N/A,true,MISS_ANALYZE
2026-05-25,EICHERMOT,N/A,"Universe gap (large-cap auto not in mid/small-cap universe); +5% news-day jump = entry timing chase",+4.93%,STRONG_UP,73,N/A,true,MISS_ANALYZE
2026-05-26,APOLLOMICRO,RSI-ceiling,"RSI estimated 75-82+ exceeds hard exclude; Pattern H requires confirmed MoD order for RSI exception","+10.5% (4d)",STRONG_UP,80,N/A,true,MISS_ANALYZE
2026-05-26,BLUEJET,N/A,"Universe gap - specialty pharma/healthcare not in basestock; Pattern P (Q4 EBITDA beat) would have caught this",+7.24%,STRONG_UP,N/A,N/A,true,MISS_ANALYZE
2026-05-27,APOLLOMICRO,RSI-ceiling,"+40% in 7 days post Q4; RSI > 82 = hard exclude","+40% (7d)",STRONG_UP,85,N/A,true,MISS_ANALYZE
2026-05-27,GOCOLORS,N/A,"Was in basestock but not in pattern analysis focus; +18.5% on 7.35x volume from 52w low base was missed","+34% (5d)",STRONG_UP,68.6,7.35x,false,MISS_ANALYZE
2026-05-27,SANSERA,RSI-ceiling,"In basestock but Pattern P (Q4 beat) should have flagged for May 22 entry; now RSI 76.4 = too late",+14.8%,STRONG_UP,76.4,8.65x,true,MISS_ANALYZE
2026-05-27,UNIPARTS,RSI-ceiling,"RSI 75.5 approaching hard exclude; +8.6% on 12.18x massive volume = institutional block purchase",+8.6%,STRONG_UP,75.5,12.18x,false,MISS_ANALYZE
2026-05-27,BHARATRAS,78%-threshold,"77% confidence just missed threshold; +6.2% on 5.56x vol flagged as news priced in",+6.2%,STRONG_UP,65,5.56x,true,MISS_ANALYZE
2026-05-27,JPPOWER,news_priced_in,"Adani Power stake acquisition; +18.5% intraday; entry tomorrow too late",+18.5%,STRONG_UP,N/A,N/A,true,MISS_ANALYZE
2026-06-01,HFCL,N/A,"Was not in top analysis candidates in prior runs despite Pattern O firing; systematic Pattern O scanning absent","+29% (10d)",STRONG_UP,75,0.35x,true,MISS_ANALYZE
2026-06-01,NETWEB,26b-distribution,"Distribution volume rule 26b prevented entry despite +20% 10d run; overly strict for stocks at new 52w highs with RSI<80","+20% (10d)",STRONG_UP,73,1.04x,true,NARRATIVE_COMPLAINT
2026-06-01,WAAREEENER,26e,"Only 8 days with >=3% move in 65 trading days (floor=11); RSI recovery promising but 26e hard fails",N/A,UP,46,N/A,false,DOWNVOTE
2026-06-02,STLTECH,RSI-ceiling,"+44.5% 10d run; RSI 89.4 hard exclude","+44.5% (10d); +4.8% today",STRONG_UP,89.4,N/A,true,MISS_ANALYZE
2026-06-02,LLOYDSME,26e,"Full 252-day check: 39/40 high-vol days = one day short; retroactively failed",+0.4%,UP,64,N/A,false,NARRATIVE_COMPLAINT
2026-06-02,HFCL,46b,"Downgraded from 87% to 76%; decelerating-staircase exhaustion signature; vol 0.08x; R:R < 1:1",+1.2%,UP,73.6,0.08x,true,NARRATIVE_COMPLAINT
2026-06-02,TRENT,26e,"29/40 high-vol days = FAIL; event-driven AGM pre-run thesis blocked",N/A,SIDEWAYS,58.2,0.08x,true,NARRATIVE_COMPLAINT
2026-06-02,TATACOMM,RSI+trend,"RSI 79.5 in exception window but below MA5 = FAIL_TREND",N/A,UP,79.5,N/A,true,DOWNVOTE
